filename;datapoints;trajectory_len;mode;freq;hd_frac;shd_frac;prec;rec;f1
ds_NumPoints10_Len30_Async_Freq2.txt;10;30;Async;2,00;0.194444;0.333333;0.700000;0.636364;0.666667
ds_NumPoints15_Len25_Async_Freq3.txt;15;25;Async;3,00;0.194444;0.333333;0.642857;0.818182;0.720000
ds_NumPoints20_Len10_Async_Freq1.txt;20;10;Async;1,00;0.194444;0.333333;0.666667;0.727273;0.695652
ds_NumPoints20_Len25_Async_Freq3.txt;20;25;Async;3,00;0.194444;0.333333;0.611111;1.000000;0.758621
ds_NumPoints5_Len15_Async_Freq1.txt;5;15;Async;1,00;0.194444;0.333333;0.750000;0.545455;0.631579
ds_NumPoints5_Len15_Async_Freq2.txt;5;15;Async;2,00;0.194444;0.333333;0.750000;0.545455;0.631579
ds_NumPoints5_Len30_Async_Freq3.txt;5;30;Async;3,00;0.194444;0.333333;0.700000;0.636364;0.666667
ds_NumPoints20_Len15_Async_Freq2.txt;20;15;Async;2,00;0.222222;0.333333;0.600000;0.818182;0.692308
ds_NumPoints5_Len10_Async_Freq2.txt;5;10;Async;2,00;0.222222;0.333333;0.666667;0.545455;0.600000
ds_NumPoints15_Len25_Async_Freq2.txt;15;25;Async;2,00;0.250000;0.333333;0.600000;0.545455;0.571429
ds_NumPoints10_Len20_Async_Freq2.txt;10;20;Async;2,00;0.222222;0.380952;0.636364;0.636364;0.636364
ds_NumPoints20_Len25_Async_Freq1.txt;20;25;Async;1,00;0.222222;0.380952;0.588235;0.909091;0.714286
ds_NumPoints5_Len25_Async_Freq3.txt;5;25;Async;3,00;0.222222;0.380952;0.636364;0.636364;0.636364
ds_NumPoints10_Len15_Async_Freq1.txt;10;15;Async;1,00;0.250000;0.380952;0.583333;0.636364;0.608696
ds_NumPoints20_Len30_Async_Freq3.txt;20;30;Async;3,00;0.250000;0.380952;0.562500;0.818182;0.666667
ds_NumPoints5_Len15_Async_Freq3.txt;5;15;Async;3,00;0.250000;0.380952;0.625000;0.454545;0.526316
ds_NumPoints5_Len20_Async_Freq3.txt;5;20;Async;3,00;0.250000;0.380952;0.625000;0.454545;0.526316
ds_NumPoints5_Len25_Async_Freq1.txt;5;25;Async;1,00;0.250000;0.380952;0.600000;0.545455;0.571429
ds_NumPoints10_Len10_Async_Freq1.txt;10;10;Async;1,00;0.305556;0.380952;0.500000;0.636364;0.560000
ds_NumPoints5_Len10_Sync_Freq2.txt;5;10;Sync;2,00;0.305556;0.380952;0.500000;0.363636;0.421053
ds_NumPoints5_Len15_Sync_Freq2.txt;5;15;Sync;2,00;0.305556;0.380952;0.500000;0.363636;0.421053
ds_NumPoints15_Len30_Async_Freq2.txt;15;30;Async;2,00;0.277778;0.428571;0.533333;0.727273;0.615385
ds_NumPoints5_Len20_Async_Freq1.txt;5;20;Async;1,00;0.277778;0.428571;0.555556;0.454545;0.500000
ds_NumPoints10_Len10_Async_Freq3.txt;10;10;Async;3,00;0.305556;0.428571;0.500000;0.272727;0.352941
ds_NumPoints15_Len30_Async_Freq1.txt;15;30;Async;1,00;0.305556;0.428571;0.500000;0.818182;0.620690
ds_NumPoints5_Len25_Async_Freq2.txt;5;25;Async;2,00;0.305556;0.428571;0.500000;0.454545;0.476190
ds_NumPoints5_Len30_Sync_Freq2.txt;5;30;Sync;2,00;0.305556;0.428571;0.500000;0.363636;0.421053
ds_NumPoints10_Len25_Sync_Freq3.txt;10;25;Sync;3,00;0.333333;0.428571;0.444444;0.363636;0.400000
ds_NumPoints10_Len20_Async_Freq1.txt;10;20;Async;1,00;0.277778;0.476190;0.545455;0.545455;0.545455
ds_NumPoints15_Len20_Async_Freq1.txt;15;20;Async;1,00;0.277778;0.476190;0.529412;0.818182;0.642857
ds_NumPoints20_Len15_Async_Freq1.txt;20;15;Async;1,00;0.277778;0.476190;0.529412;0.818182;0.642857
ds_NumPoints10_Len15_Async_Freq3.txt;10;15;Async;3,00;0.305556;0.476190;0.500000;0.545455;0.521739
ds_NumPoints5_Len10_Async_Freq3.txt;5;10;Async;3,00;0.305556;0.476190;0.500000;0.272727;0.352941
ds_NumPoints10_Len30_Async_Freq1.txt;10;30;Async;1,00;0.333333;0.476190;0.470588;0.727273;0.571429
ds_NumPoints15_Len10_Async_Freq1.txt;15;10;Async;1,00;0.333333;0.476190;0.454545;0.454545;0.454545
ds_NumPoints5_Len10_Sync_Freq3.txt;5;10;Sync;3,00;0.333333;0.476190;0.333333;0.090909;0.142857
ds_NumPoints5_Len10_Async_Freq1.txt;5;10;Async;1,00;0.361111;0.476190;0.375000;0.272727;0.315789
ds_NumPoints5_Len25_Sync_Freq2.txt;5;25;Sync;2,00;0.388889;0.476190;0.400000;0.545455;0.461538
ds_NumPoints10_Len10_Sync_Freq3.txt;10;10;Sync;3,00;0.416667;0.476190;0.357143;0.454545;0.400000
ds_NumPoints10_Len20_Sync_Freq3.txt;10;20;Sync;3,00;0.416667;0.476190;0.357143;0.454545;0.400000
ds_NumPoints20_Len10_Async_Freq2.txt;20;10;Async;2,00;0.305556;0.523810;0.500000;0.727273;0.592593
ds_NumPoints20_Len30_Async_Freq1.txt;20;30;Async;1,00;0.333333;0.523810;0.470588;0.727273;0.571429
ds_NumPoints5_Len30_Async_Freq2.txt;5;30;Async;2,00;0.333333;0.523810;0.428571;0.272727;0.333333
ds_NumPoints15_Len30_Async_Freq3.txt;15;30;Async;3,00;0.361111;0.523810;0.437500;0.636364;0.518519
ds_NumPoints10_Len15_Sync_Freq3.txt;10;15;Sync;3,00;0.388889;0.523810;0.400000;0.545455;0.461538
ds_NumPoints15_Len10_Sync_Freq3.txt;15;10;Sync;3,00;0.388889;0.523810;0.384615;0.454545;0.416667
ds_NumPoints15_Len25_Sync_Freq3.txt;15;25;Sync;3,00;0.416667;0.523810;0.357143;0.454545;0.400000
ds_NumPoints20_Len10_Sync_Freq3.txt;20;10;Sync;3,00;0.416667;0.523810;0.333333;0.363636;0.347826
ds_NumPoints20_Len25_Sync_Freq3.txt;20;25;Sync;3,00;0.444444;0.523810;0.333333;0.454545;0.384615
ds_NumPoints15_Len20_Sync_Freq3.txt;15;20;Sync;3,00;0.472222;0.523810;0.285714;0.363636;0.320000
ds_NumPoints5_Len20_Sync_Freq3.txt;5;20;Sync;3,00;0.472222;0.523810;0.285714;0.363636;0.320000
ds_NumPoints15_Len15_Sync_Freq3.txt;15;15;Sync;3,00;0.416667;0.571429;0.375000;0.545455;0.444444
ds_NumPoints20_Len15_Sync_Freq3.txt;20;15;Sync;3,00;0.416667;0.571429;0.375000;0.545455;0.444444
ds_NumPoints10_Len15_Sync_Freq2.txt;10;15;Sync;2,00;0.444444;0.571429;0.333333;0.454545;0.384615
ds_NumPoints20_Len20_Sync_Freq2.txt;20;20;Sync;2,00;0.444444;0.571429;0.333333;0.454545;0.384615
ds_NumPoints20_Len20_Sync_Freq3.txt;20;20;Sync;3,00;0.444444;0.571429;0.333333;0.454545;0.384615
ds_NumPoints20_Len30_Sync_Freq3.txt;20;30;Sync;3,00;0.444444;0.571429;0.352941;0.545455;0.428571
