filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints18_Len36_Async_Freq2.txt,18,36,Async,2,0.111111,0.190476,0.769231,0.909091,0.833333
ds_NumPoints18_Len36_Async_Freq3.txt,18,36,Async,3,0.138889,0.238095,0.714286,0.909091,0.800000
ds_NumPoints18_Len36_Sync_Freq1.txt,18,36,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints18_Len36_Sync_Freq2.txt,18,36,Sync,2,0.611111,0.619048,0.176471,0.272727,0.214286
ds_NumPoints18_Len36_Sync_Freq3.txt,18,36,Sync,3,0.388889,0.428571,0.411765,0.636364,0.500000
ds_NumPoints18_Len39_Async_Freq1.txt,18,39,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints18_Len39_Async_Freq2.txt,18,39,Async,2,0.333333,0.523810,0.473684,0.818182,0.600000
ds_NumPoints18_Len39_Async_Freq3.txt,18,39,Async,3,0.166667,0.285714,0.666667,0.909091,0.769231
ds_NumPoints18_Len39_Sync_Freq1.txt,18,39,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints18_Len39_Sync_Freq2.txt,18,39,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints18_Len39_Sync_Freq3.txt,18,39,Sync,3,0.416667,0.571429,0.333333,0.363636,0.347826
ds_NumPoints18_Len3_Async_Freq1.txt,18,3,Async,1,0.250000,0.380952,1.000000,0.181818,0.307692
ds_NumPoints18_Len3_Async_Freq2.txt,18,3,Async,2,0.305556,0.476190,0.000000,0.000000,0.000000
ds_NumPoints18_Len3_Async_Freq3.txt,18,3,Async,3,0.250000,0.380952,1.000000,0.181818,0.307692
ds_NumPoints18_Len3_Sync_Freq1.txt,18,3,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints18_Len3_Sync_Freq2.txt,18,3,Sync,2,0.472222,0.571429,0.250000,0.272727,0.260870
ds_NumPoints18_Len3_Sync_Freq3.txt,18,3,Sync,3,0.444444,0.523810,0.222222,0.181818,0.200000
ds_NumPoints18_Len6_Async_Freq1.txt,18,6,Async,1,0.277778,0.476190,0.571429,0.363636,0.444444
ds_NumPoints18_Len6_Async_Freq2.txt,18,6,Async,2,0.166667,0.285714,0.727273,0.727273,0.727273
ds_NumPoints18_Len6_Async_Freq3.txt,18,6,Async,3,0.138889,0.238095,0.750000,0.818182,0.782609
ds_NumPoints18_Len6_Sync_Freq1.txt,18,6,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints18_Len6_Sync_Freq2.txt,18,6,Sync,2,0.444444,0.571429,0.333333,0.454545,0.384615
ds_NumPoints18_Len6_Sync_Freq3.txt,18,6,Sync,3,0.444444,0.619048,0.307692,0.363636,0.333333
ds_NumPoints18_Len9_Async_Freq1.txt,18,9,Async,1,0.305556,0.476190,0.500000,0.545455,0.521739
ds_NumPoints18_Len9_Async_Freq2.txt,18,9,Async,2,0.138889,0.238095,0.750000,0.818182,0.782609
ds_NumPoints18_Len9_Async_Freq3.txt,18,9,Async,3,0.111111,0.190476,0.733333,1.000000,0.846154
