nodes	mode	score	sf	ntraj	len	tf	hd_frac	shd_frac	precision	recall	f1
5	asynchronous	BDE	3	3	15	0.8	0.520000	0.600000	0.666667	0.142857	0.235294
5	asynchronous	MDL	3	3	20	0.4	0.480000	0.666667	0.750000	0.214286	0.333333
5	asynchronous	BDE	3	3	20	0.4	0.480000	0.666667	0.750000	0.214286	0.333333
5	asynchronous	MDL	3	3	20	0.6	0.480000	0.600000	0.666667	0.285714	0.400000
5	asynchronous	BDE	3	3	20	0.6	0.520000	0.600000	0.600000	0.214286	0.315789
5	asynchronous	MDL	3	3	20	0.8	0.520000	0.666667	0.600000	0.214286	0.315789
5	asynchronous	BDE	3	3	20	0.8	0.600000	0.733333	0.333333	0.071429	0.117647
6	asynchronous	MDL	1	1	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	5	0.8	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	5	0.8	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	10	0.4	0.388889	0.523810	0.500000	0.071429	0.125000
6	asynchronous	BDE	1	1	10	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	10	0.6	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	BDE	1	1	10	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	10	0.8	0.361111	0.428571	1.000000	0.071429	0.133333
6	asynchronous	BDE	1	1	10	0.8	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	15	0.4	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	15	0.4	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	15	0.6	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	15	0.6	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	15	0.8	0.416667	0.523810	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	1	15	0.8	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	1	20	0.4	0.444444	0.571429	0.250000	0.071429	0.111111
6	asynchronous	BDE	1	1	20	0.4	0.416667	0.523810	0.333333	0.071429	0.117647
6	asynchronous	MDL	1	1	20	0.6	0.361111	0.428571	0.666667	0.142857	0.235294
6	asynchronous	BDE	1	1	20	0.6	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	1	20	0.8	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	BDE	1	1	20	0.8	0.388889	0.476190	0.500000	0.071429	0.125000
6	asynchronous	MDL	1	2	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	2	5	0.4	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	2	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	BDE	1	2	5	0.6	0.388889	0.476190	0.000000	0.000000	0.000000
6	asynchronous	MDL	1	2	5	0.8	0.361111	0.428571	1.000000	0.071429	0.133333
6	asynchronous	BDE	1	2	5	0.8	0.361111	0.428571	1.000000	0.071429	0.133333
6	asynchronous	MDL	1	2	10	0.4	0.388889	0.476190	0.500000	0.071429	0.125000
